[0.011s] Invoking command in '/home/yuzhe/omx_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/yuzhe/omx_ws/src/open_manipulator/open_manipulator_x_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/yuzhe/omx_ws/install/open_manipulator_x_description
[0.026s] -- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
[0.117s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.179s] -- Configuring done
[0.183s] -- Generating done
[0.184s] -- Build files have been written to: /home/yuzhe/omx_ws/build/open_manipulator_x_description
[0.188s] Invoked command in '/home/yuzhe/omx_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/yuzhe/omx_ws/src/open_manipulator/open_manipulator_x_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/yuzhe/omx_ws/install/open_manipulator_x_description
[0.188s] Invoking command in '/home/yuzhe/omx_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/yuzhe/omx_ws/build/open_manipulator_x_description -- -j20 -l20
[0.217s] Invoked command in '/home/yuzhe/omx_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/yuzhe/omx_ws/build/open_manipulator_x_description -- -j20 -l20
[0.226s] Invoking command in '/home/yuzhe/omx_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/yuzhe/omx_ws/build/open_manipulator_x_description
[0.231s] -- Install configuration: ""
[0.231s] -- Execute custom install script
[0.232s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/launch/.DS_Store
[0.232s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/launch/open_manipulator_x_rviz.launch.py
[0.233s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link1.stl
[0.233s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link2.stl
[0.233s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link3.stl
[0.234s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link4.stl
[0.234s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link5.stl
[0.234s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link_grip_l.stl
[0.234s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link_grip_r.stl
[0.235s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/rviz/open_manipulator_x.rviz
[0.235s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/materials.xacro
[0.236s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.gazebo.xacro
[0.236s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.transmission.xacro
[0.236s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.urdf.xacro
[0.236s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x_robot.urdf.xacro
[0.236s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/ament_index/resource_index/package_run_dependencies/open_manipulator_x_description
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/ament_index/resource_index/parent_prefix_path/open_manipulator_x_description
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/ament_prefix_path.sh
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/ament_prefix_path.dsv
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/path.sh
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/path.dsv
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.bash
[0.237s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.sh
[0.238s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.zsh
[0.238s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.dsv
[0.238s] -- Symlinking: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/package.dsv
[0.244s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/ament_index/resource_index/packages/open_manipulator_x_description
[0.244s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/cmake/open_manipulator_x_descriptionConfig.cmake
[0.245s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/cmake/open_manipulator_x_descriptionConfig-version.cmake
[0.245s] -- Up-to-date symlink: /home/yuzhe/omx_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/package.xml
[0.246s] Invoked command in '/home/yuzhe/omx_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/yuzhe/omx_ws/build/open_manipulator_x_description
